"[all run data]","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts","count turtles","count basics","count experts"
,"35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25","35","10","25"
,"24","4","20","20","1","19","23","3","20","20","1","19","27","4","23","27","8","19","21","4","17","20","6","14","20","3","17","22","6","16"
,"24","4","20","20","1","19","23","3","20","20","1","19","27","4","23","27","8","19","21","4","17","20","6","14","19","2","17","22","6","16"
,"23","3","20","20","1","19","22","2","20","20","1","19","27","4","23","26","7","19","21","4","17","20","6","14","19","2","17","22","6","16"
,"23","3","20","20","1","19","22","2","20","19","1","18","27","4","23","26","7","19","21","5","16","20","6","14","19","2","17","22","6","16"
,"23","3","20","20","1","19","22","2","20","19","1","18","27","4","23","26","7","19","21","5","16","20","5","15","19","2","17","22","6","16"
,"23","3","20","20","1","19","22","2","20","19","1","18","27","4","23","26","6","20","21","5","16","20","5","15","19","2","17","22","6","16"
,"22","2","20","20","1","19","22","2","20","19","1","18","27","4","23","25","5","20","20","5","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","20","1","19","22","2","20","19","1","18","27","4","23","25","5","20","19","4","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","20","2","18","21","2","19","19","1","18","27","4","23","24","5","19","19","4","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","20","2","18","21","2","19","19","1","18","27","4","23","24","5","19","19","4","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","19","2","17","21","2","19","19","1","18","27","4","23","24","5","19","19","4","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","19","2","17","21","2","19","18","1","17","27","4","23","24","5","19","19","4","15","20","5","15","19","2","17","22","6","16"
,"22","2","20","19","2","17","21","2","19","18","1","17","26","3","23","24","5","19","19","4","15","19","4","15","19","3","16","22","6","16"
,"22","2","20","19","2","17","21","2","19","18","1","17","26","3","23","24","5","19","19","4","15","17","2","15","19","3","16","22","6","16"
,"22","1","21","19","2","17","21","2","19","18","1","17","26","3","23","24","5","19","18","3","15","17","2","15","19","3","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","18","1","17","26","3","23","24","5","19","18","3","15","17","2","15","19","3","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","18","1","17","26","3","23","23","4","19","18","3","15","17","3","14","19","3","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","18","1","17","26","2","24","23","4","19","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","18","1","17","26","2","24","23","4","19","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","18","1","17","26","2","24","23","4","19","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","17","1","16","26","2","24","23","4","19","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","16","1","15","26","2","24","22","4","18","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","19","3","16","21","2","19","16","1","15","26","2","24","22","4","18","18","3","15","17","3","14","18","2","16","21","5","16"
,"22","1","21","18","2","16","21","2","19","16","1","15","26","2","24","22","4","18","17","1","16","17","3","14","18","2","16","21","5","16"
,"22","1","21","18","2","16","21","2","19","16","1","15","26","2","24","22","5","17","17","1","16","17","3","14","17","2","15","21","5","16"
,"21","1","20","18","2","16","20","2","18","16","1","15","26","2","24","22","5","17","17","1","16","17","3","14","17","2","15","20","4","16"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","2","24","22","5","17","17","1","16","17","3","14","17","2","15","20","4","16"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","2","24","21","4","17","17","1","16","16","2","14","17","2","15","20","3","17"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","1","16","16","2","14","16","2","14","19","2","17"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","16","2","14","19","2","17"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","16","2","14","18","1","17"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","16","2","14","18","1","17"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","16","2","14","17","1","16"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","15","1","14","17","1","16"
,"21","1","20","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","15","1","14","17","1","16"
,"20","1","19","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","15","1","14","17","1","16"
,"20","1","19","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","15","1","14","16","0","16"
,"20","1","19","18","2","16","19","1","18","16","1","15","26","3","23","21","5","16","17","2","15","16","2","14","15","1","14","16","0","16"
,"20","1","19","18","2","16","19","1","18","16","1","15","26","3","23","20","4","16","17","2","15","16","2","14","15","1","14","16","0","16"
,"20","1","19","18","2","16","18","1","17","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","16","0","16"
,"19","1","18","18","2","16","18","1","17","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","16","0","16"
,"19","1","18","18","2","16","18","1","17","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"19","1","18","18","2","16","18","1","17","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"19","1","18","18","2","16","18","2","16","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"19","1","18","18","2","16","18","2","16","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"19","1","18","18","2","16","18","2","16","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"19","1","18","18","2","16","18","2","16","16","1","15","26","3","23","19","2","17","17","2","15","16","2","14","15","1","14","15","0","15"
,"18","0","18","18","2","16","18","2","16","16","1","15","26","3","23","19","2","17","17","2","15","16","3","13","15","1","14","15","0","15"
,"18","0","18","18","2","16","18","2","16","16","1","15","26","3","23","19","3","16","17","2","15","16","3","13","15","1","14","15","0","15"
,"18","0","18","18","2","16","17","1","16","16","1","15","26","3","23","19","3","16","17","2","15","16","3","13","15","1","14","15","0","15"
,"18","0","18","18","2","16","17","1","16","16","1","15","26","3","23","19","3","16","17","2","15","16","3","13","15","1","14","15","0","15"
,"18","0","18","18","2","16","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","16","4","12","15","1","14","14","0","14"
,"18","0","18","17","2","15","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","2","15","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","2","15","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","2","15","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","2","15","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","3","14","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","15","1","14","14","0","14"
,"18","0","18","17","3","14","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","14","1","13","14","0","14"
,"18","0","18","17","3","14","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","14","1","13","14","0","14"
,"18","0","18","17","3","14","17","1","16","16","1","15","25","3","22","19","3","16","17","2","15","15","3","12","14","1","13","14","0","14"
